7.3647e+01,1.9711e+03,6.3045e+01,1.8695e+00,4.1676e+02,4.3863e+04,-2.0056e+03,-1.4858e+01,-1.9419e+02,5.0342e-01
7.3961e+01,1.9447e+03,7.0845e+01,1.9379e+00,4.4251e+02,4.3355e+04,-2.1796e+03,-1.5321e+01,-1.9578e+02,2.0444e+00
7.3762e+01,1.9441e+03,7.0777e+01,1.9457e+00,4.1330e+02,4.3042e+04,-2.3128e+03,-1.4970e+01,-1.9120e+02,1.5264e+00
7.3833e+01,2.0010e+03,7.4565e+01,1.9939e+00,4.1156e+02,4.4130e+04,-2.3491e+03,-1.5421e+01,-1.8899e+02,5.5313e-01
7.3957e+01,1.9275e+03,6.5887e+01,1.9555e+00,4.3701e+02,4.3077e+04,-2.1571e+03,-1.5348e+01,-1.9713e+02,1.5107e+00
7.3723e+01,1.9449e+03,6.1860e+01,1.9621e+00,4.1425e+02,4.3294e+04,-2.2872e+03,-1.5111e+01,-1.9386e+02,2.2229e+00
7.3928e+01,1.9008e+03,6.3978e+01,1.9656e+00,4.3829e+02,4.2724e+04,-2.0786e+03,-1.5549e+01,-1.9869e+02,1.8200e+00
7.3339e+01,1.9490e+03,6.4057e+01,1.9801e+00,4.3473e+02,4.3122e+04,-2.1718e+03,-1.5310e+01,-1.9091e+02,1.8312e+00
7.3848e+01,1.8936e+03,6.6580e+01,1.9369e+00,4.7102e+02,4.2613e+04,-2.1068e+03,-1.5614e+01,-1.9953e+02,8.0714e-01
7.4197e+01,1.8943e+03,6.9220e+01,1.9477e+00,4.4101e+02,4.2399e+04,-2.0577e+03,-1.4805e+01,-1.9591e+02,2.4074e+00
7.3915e+01,1.9036e+03,7.3454e+01,1.8502e+00,4.3348e+02,4.2770e+04,-2.0381e+03,-1.4688e+01,-1.9732e+02,1.0291e+00
7.3293e+01,1.9140e+03,7.3674e+01,1.9842e+00,4.4830e+02,4.2773e+04,-2.3357e+03,-1.5283e+01,-1.9623e+02,1.3851e+00
7.3403e+01,1.8982e+03,6.7285e+01,1.9188e+00,4.6248e+02,4.2733e+04,-2.0467e+03,-1.5684e+01,-2.0012e+02,8.0002e-01
7.3836e+01,1.9064e+03,6.2545e+01,1.9270e+00,4.4112e+02,4.2576e+04,-2.1922e+03,-1.4956e+01,-1.9602e+02,1.6679e+00
