-1.774718e-02,-1.244278e-01,-1.735306e-01,-6.318957e-03,-9.672611e-02,-8.487942e-02,-1.774196e-02,-1.080530e-01,-1.621526e-01,-1.337279e-02,-2.214869e-01,-5.099265e-02,-1.774656e-02,-9.409330e-02,-1.546432e-01,-2.668028e-02,-3.238253e-01,-3.422115e-02
-1.950172e-02,-1.291360e-01,-2.465586e-02,-1.131652e-02,-7.848273e-02,-1.814058e-01,-1.999454e-02,-1.097058e-01,-2.844871e-02,-1.916191e-03,-2.183891e-01,-1.628602e-01,-1.965642e-02,-9.638282e-02,-6.532737e-03,-2.231241e-03,-3.193097e-01,-1.838089e-01
-2.300519e-02,-1.299780e-01,-1.211299e-01,-9.576660e-03,-7.516079e-02,-2.379451e-01,-2.052603e-02,-1.109561e-01,-1.047093e-01,-2.256330e-03,-2.113130e-01,-1.883619e-01,-2.307896e-02,-9.753316e-02,-1.654984e-01,-4.604483e-04,-3.124370e-01,-2.530706e-01
-2.212454e-02,-1.282420e-01,-1.127634e-01,-1.426105e-03,-8.339169e-02,-2.569638e-01,-2.200667e-02,-1.107148e-01,-4.956613e-02,-3.294944e-03,-2.139369e-01,-2.198967e-01,-2.320233e-02,-9.745092e-02,-1.565708e-01,-1.826880e-04,-3.130004e-01,-2.515504e-01
-2.121387e-02,-1.298805e-01,-1.058479e-01,-8.014269e-03,-7.442508e-02,-2.307838e-01,-2.238555e-02,-1.130573e-01,-1.355632e-01,-1.097858e-02,-2.014165e-01,-1.940739e-01,-2.338243e-02,-9.776520e-02,-1.617209e-01,-4.362678e-05,-3.114386e-01,-2.557808e-01
-2.166353e-02,-1.399278e-01,-4.183223e-02,-7.646286e-02,-1.987235e-02,-4.194942e-02,-2.131671e-02,-1.229143e-01,-1.025288e-01,-8.120432e-02,-1.513555e-01,-1.509220e-02,-2.084216e-02,-1.094031e-01,-1.359805e-01,-9.310819e-02,-2.543494e-01,-9.992325e-06
-1.971321e-02,-1.330828e-01,-3.095394e-02,-2.893857e-02,-5.672013e-02,-1.394171e-01,-1.980015e-02,-1.104580e-01,-1.384770e-03,-1.250883e-03,-2.145451e-01,-1.793583e-01,-1.895270e-02,-1.076316e-01,-1.882218e-01,-7.887135e-02,-2.626783e-01,-1.427578e-02
-1.895882e-02,-1.275893e-01,-9.958210e-02,-1.551591e-03,-8.503285e-02,-1.983855e-01,-2.190511e-02,-1.100233e-01,-9.784469e-02,-1.628973e-03,-2.164773e-01,-2.050983e-01,-2.272372e-02,-9.749384e-02,-1.200693e-01,-1.724693e-03,-3.128565e-01,-2.445492e-01
-1.774289e-02,-1.271341e-01,-1.429051e-01,-1.401656e-04,-8.741423e-02,-1.833470e-01,-1.975258e-02,-1.100825e-01,-1.681092e-01,-4.995005e-03,-2.147410e-01,-1.517951e-01,-2.307907e-02,-9.634924e-02,-1.597966e-01,7.451720e-05,-3.174669e-01,-2.401759e-01
-2.162587e-02,-1.291699e-01,-4.167187e-03,-9.246576e-03,-7.808568e-02,-2.014485e-01,-2.281860e-02,-1.107126e-01,-2.890695e-03,-4.421401e-05,-2.151532e-01,-2.425656e-01,-2.173365e-02,-1.008196e-01,-4.208184e-03,-2.713870e-02,-2.977741e-01,-1.498138e-01
